"Term name (NOT TO BE EDITED, but see comments in column K)",acronym/abbreviation (Editors can insert suggestions),Pending discussion,"skos:definition @en                                                          Comments welcome, but DO NOT EDIT column D (FdJ will do that based on comments in column M). Note that in some cases the original can still be checked in column R",project/community/source,source indications in the source,date (internal information only),select (Editors in favour of selection can add a smart chip/their initials) ,to be discussed (Editors in favour of discussion can add a smart chip/their initials) ,reject (Editors in favour of rejection can add a smart chip/their initials) ,final decision (verdict to be specified based on consensus/majority; probably not before 13 July),status: current / not used / outdated; annotated with user initials,"editorial comments, annotated with user initials (light grey font: no further actionr equired on short notice)",URI (without namespace); capitalisation for internal purposes only; DO NOT EDIT,skos:prefLabel @en,skos:altLabel @en;  column NOT TO BE EDITED;  relevance of this column still under  discussion ,skos:broader,original definition @en,skos:note @en,skos:example @en,skos:exactMatch,skos:closeMatch
Generic service,,see cell A2,,,,,Franciska de Jong Joaquin Lopez Lorenz Makula,,,reject,can be rediscussed after first release,definition still lacking,,,,,,,,,
governance structure,,,set of bodies of the ​EOSC Association​ responsible for the governance of ​EOSC​.,EOSC Glossary September 2020,,2020-09-01,,,Lorenz Makula Franciska de Jong Joaquin Lopez Alberto Iess MN,reject,,"FdJ: The term should actually be 'EOSC Governance Structure'; the sugegsted definition does't add anything meaningful to what the term already says
",GovernanceStructure,governance structure,,EOSC Association,set of bodies of the ​EOSC Association​ responsible for the governance of ​EOSC​.,,,,
helpdesk,,,"service offering help and support to EOSC users, providers and stakeholders.",EOSCFuture project glossary,https://wiki.eoscfuture.eu/display/PUBLIC/EOSC+Future+Glossary,2021-06-01,,,Lorenz Makula Franciska de Jong Joaquin Lopez Alberto Iess MN,reject,,"FdJ: The term should actually be 'EOSC Helpdesk'
Term should be EOSC Helpdesk.",Helpdesk,helpdesk,,,"A service offering help and support to EOSC users, providers and stakeholders.",,,,
high-performance computing infrastructure,,,computing infrastructure​ that enables the ​high performance computing paradigm​.,EOSC Glossary September 2020,,2020-09-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess MN,reject,,FdJ: definition of term *with* infrastructure has no added value over the one for 'just' HPC that also is an entry,HighPerformanceComputingInfrastructure,high-performance computing infrastructure,high performance computing infrastructure | HPC infrastructure,computing infrastructure,computing infrastructure​ enabling the ​high performance computing paradigm​.,,,,
high-performance computing paradigm,,,"computing ​paradigm that focuses on the efficient execution of compute intensive, tightly-coupled tasks. Given the high parallel communication requirements, the tasks are typically executed on low latency interconnects which makes it possible to share data very rapidly between a large numbers of processors working on the same problem. HPC systems are delivered through low latency clusters and supercomputers and are typically optimised to maximise the number of operations per seconds. The typical metrics are FLOPS, tasks/s, I/O rates.",EOSC Glossary September 2020,"​Glossary V3—EGIWiki​. Retrieved 19 June 2020, from https://wiki.egi.eu/wiki/Glossary_V3​.",2020-09-01,,,Lorenz Makula Franciska de Jong Joaquin Lopez Alberto Iess MN,reject,,,HighPerformanceComputingParadigm,high-performance computing paradigm,high performance computing paradigm | HPC paradigm,paradigm,"computing ​paradigm that focuses on the efficient execution of compute intensive, tightly-coupled tasks. Given the high parallel communication requirements, the tasks are typically executed on low latency interconnects which makes it possible to share data very rapidly between a large numbers of processors working on the same problem. HPC systems are delivered through low latency clusters and supercomputers and are typically optimised to maximise the number of operations per seconds. The typical metrics are FLOPS, tasks/s, I/O rates.",,,,
high-throughput computing infrastructure,,,computing infrastructure​ that enables the ​high throughput computing paradigm​.,EOSC Glossary September 2020,,2020-09-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula,reject,,Not specific to EOSC/OSCARS.,HighThroughputComputingInfrastructure,high-throughput computing infrastructure,high throughput computing infrastructure | HTC infrastructure,computing infrastructure,computing infrastructure​ enabling the ​high throughput computing paradigm​.,,,,
high-throughput computing paradigm,,,"computing ​paradigm that focuses on the efficient execution of a large number of loosely-coupled tasks. Given the minimal parallel communication requirements, the tasks can be executed on clusters or physically distributed resources using grid technologies. HTC systems are typically optimised to maximise the throughput over a long period of time and a typical metric is jobs per month or year.",EOSC Glossary September 2020,"​Glossary V3—EGIWiki​. Retrieved 19 June 2020, from https://wiki.egi.eu/wiki/Glossary_V3​.",2020-09-01,,,Lorenz Makula Franciska de Jong Joaquin Lopez,reject,,,HighThroughputComputingParadigm,high-throughput computing paradigm,high throughput computing paradigm | HTC paradigm,paradigm,"computing ​paradigm that focuses on the efficient execution of a large number of loosely-coupled tasks. Given the minimal parallel communication requirements, the tasks can be executed on clusters or physically distributed resources using grid technologies. HTC systems are typically optimised to maximise the throughput over a long period of time and a typical metric is jobs per month or year.",,,,
Horizontal Service,,see cell A2,"A service that may be used by multiple communities, rather than one that is focussed on one particular community. The following characteristics have been agreed within the EOSC-Future project to define a horizontal service: The service needs to be able to be applied in a general way to solve a significantly large class of problems The service should be used by two or more research infrastructures",EOSCFuture project glossary,,2024-03-29,MN,Alberto Iess,Franciska de Jong Joaquin Lopez Lorenz Makula,reject,,"Duplicate term available; FdJ: definition overlaps with 'generic service'
AI: I prefer this to ""generic service"". 
MN: so far no definition for generic services available. ""horizontal s."" and ""generic s."" should reference each other",HorizontalService,Horizontal Service,,,"A service that may be used by multiple communities, rather than one that is focussed on one particular community. The following characteristics have been agreed within the EOSC-Future project to define a horizontal service: The service needs to be able to be applied in a general way to solve a significantly large class of problems The service should be used by two or more research infrastructures",,,,
Hosting Legal Entity,HLE,,"Set of guidelines to make ​digital repositories​ suitable for data and FAIR digital objects management​ and long-term preservation based on Transparency, Responsibility, User community, Sustainability and Technology (TRUST).",EOSCFuture project glossary,,2024-03-29,,,Franciska de Jong Joaquin Lopez Lorenz Makula MN,reject,,"FdJ: if relevant at all, the definition should be adjusted to the description of the EOSC Federation
",HostingLegalEntity,Hosting Legal Entity,,,"An institution registered as an EOSC resource provider, that is a legal entity and agrees to be accountable for resources onboarded to EOSC. Resources may be onboarded by a resource provider which is not a legal entity, but only if the Hosting Legal Entity field includes one legal entity already registered as resource provider, if this has been agreed in advance with them",,,,
hybrid cloud,,,"cloud infrastructure​ composed of two or more distinct cloud infrastructures (private, community, or public) that remain unique entities, but are bound together by standardized or proprietary technology that enables ​data​ and application portability (e.g., cloud bursting for load balancing between clouds).",EOSC Glossary September 2020,"Mell, P., & Grance, T. (2011). ​The NIST Definition of Cloud Computing. Recommendations of the National Institute of Standards and Technology​ (Special Publication 800-145; Reports on Computer Systems Technology). National Institute of Standards and Technology, Information Technology Laboratory. https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-145.pdf​.",2020-09-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula,reject,FdJ: not used,,HybridCloud,hybrid cloud,,cloud infrastructure,"cloud infrastructure​ composed of two or more distinct cloud infrastructures (private, community, or public) that remain unique entities, but are bound together by standardized or proprietary technology that enables ​data​ and application portability (e.g., cloud bursting for load balancing between clouds).",,,,
Inclusion Criteria,,,"A set of defined requirements with which providers, catalogue operators and resources need to comply in order to be onboarded into EOSC",EOSCFuture project glossary,,2024-03-29,,,Franciska de Jong Joaquin Lopez Lorenz Makula MN,reject,,,InclusionCriteria,Inclusion Criteria,,,"A set of defined requirements with which providers, catalogue operators and resources need to comply in order to be onboarded into EOSC",,,,
Indicators of Compromise,IoC,,A piece of digital forensics which indicates a potential breach of a host system or network,EOSCFuture project glossary,,2024-03-29,,,Franciska de Jong Joaquin Lopez Lorenz Makula MN,reject,,,IndicatorsOfCompromise,Indicators of Compromise,,,A piece of digital forensics which indicates a potential breach of a host system or network,,,,
information,,,"data​ that are processed, organized and correlated to produce meaning.  ",EOSC Glossary September 2020,ISO/IEC 20547-3:2020.,2020-09-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula MN,reject,,"FdJ: not specific for EOSC/OSCARS
Not specific to EOSC/OSCARS.",Information,information,,data,"data​ that are processed, organized and correlated to produce meaning. [SOURCE: ISO/IEC 20547-3:2020.",,,,
information and communication technology infrastructure,,,"ICT infrastructure digital infrastructure enabling all categories of ubiquitous technology used for the gathering, storing, transmitting, retrieving, or processing of ​information (e.g., microelectronics, printed circuit boards, computing systems, software, signal processors, mobile telephony, satellite communications, and networks).",EOSC Glossary September 2020,"DoDI 5200.44, modified –– reference to digital infrastructure",2020-09-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula,reject,,"FdJ: not specific for EOSC/OSCARS
Not specific to EOSC/OSCARS.",InformationAndCommunicationTechnologyInfrastructure,information and communication technology infrastructure,,digital infrastructure,"ICT infrastructure digital infrastructure enabling all categories of ubiquitous technology used for the gathering, storing, transmitting, retrieving, or processing of ​information (e.g., microelectronics, printed circuit boards, computing systems, software, signal processors, mobile telephony, satellite communications, and networks).",,,,
information technology infrastructure,,,"IT infrastructure ICT infrastructure consisting of all the technical components, system software, databases and data files and deployed application software, technical procedures, and technical documentation used to make the ​information​ available.",EOSC Glossary September 2020,"ISO/IEC 16350:2015, modified –– reference to digital infrastructure.",2020-09-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula MN,reject,,"FdJ: not specific for EOSC/OSCARS
Not specific to EOSC/OSCARS.",InformationTechnologyInfrastructure,information technology infrastructure,,information and communication technology infrastructure,"IT infrastructure ICT infrastructure consisting of all the technical components, system software, databases and data files and deployed application software, technical procedures, and technical documentation used to make the ​information​ available.",,,,
infrastructure,,,"​system of facilities, equipment and ​services needed for the operation of an organization",EOSC Glossary September 2020,"ISO 9000:2015, modified –– example and Note 1 to entry have been added",2020-09-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess,reject,,"FdJ: not specific for EOSC/OSCARS; Alternative: digital infrasgtructiure (see above)
Too generic; prefer digital infrastructure.",Infrastructure,infrastructure,,component,"​system of facilities, equipment and ​services needed for the operation of an organization","Domain: organisation | EXAMPLE All the facilities, hardware, software and data required to run and maintain a repository; the repository itself can be seen both as a service, if it is used directly by an end-user, or as an infrastructure, if it is used as a component in a more complex system. | Note 1 to entry: Infrastructure is a relational concept: a ​resource becomes an infrastructure when it is needed in order to enable a service that otherwise could not be offered.",,,
Infrastructure and value-added services,,,Generic capabilities that users/customers or thematic services can use to perform/ease compute and data intensive steps.,EOSCFuture project glossary,,2024-03-29,,,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess MN,reject,,"FdJ: not specific for EOSC/OSCARS
Too generic; prefer digital infrastructure.",InfrastructureAndValueAddedServices,Infrastructure and value-added services,,,Generic capabilities that users/customers or thematic services can use to perform/ease compute and data intensive steps. Example services within this group: IaaS clouds; HTC clusters; Container execution sites; Orchestrators; Schedulers; File transfer; Data replication,, IaaS clouds; HTC clusters; Container execution sites; Orchestrators; Schedulers; File transfer; Data replication,,
Infrastructure Operator,,,The body responsible for running an EOSC Core service.,EOSCFuture project glossary,https://wiki.eoscfuture.eu/display/PUBLIC/EOSC+Future+Glossary,2021-06-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula MN,reject,FdJ: outdated,Too generic; prefer digital infrastructure.,InfrastructureOperator,Infrastructure Operator,,,The body responsible for running an EOSC Core service.,,,,
institutional repository,,see cell A2,repository​ serving a single ​organisation​.,EOSC Glossary September 2020,"CoreTrustSeal Standards and Certification Board. (2019). CoreTrustSeal Trustworthy Data Repositories Requirements: Glossary 2020–2022. https://doi.org/10.5281/zenodo.3632563​, modified –– reference to single organisation instead of research performing institution.",2020-09-01,, Lorenz Makula,IMS Franciska de Jong Joaquin Lopez,reject,can be rediscussed after first release,"FdJ: weird definition
Definition appears incomplete or unusual.",InstitutionalRepository,institutional repository,IR,repository,repository​ serving a single ​organisation​.,"Note 1 to entry: Often are generic, multisubject repositories; for example, within a university.",,,
interoperability,,,ability of two or more ​systems​ to exchange information and to make mutual use of the information that has been exchanged.,EOSC Glossary September 2020,"ISO 5127:2017, modified –– Note 1 to entry has been removed.",2020-09-01,Joaquin Lopez Alberto Iess MN,IMS Franciska de Jong Lorenz Makula,,reject,can be rediscussed after first release,"FdJ: implicit definition availble via  'EOSC interopeability framework', so can temporarily be missed
IMS: already explained within ""FAIR""; other terms would need to be added as well",Interoperability,interoperability,,system,ability of two or more ​systems​ to exchange information and to make mutual use of the information that has been exchanged.,,,,
Interoperability Guideline Provider,,,EOSC Provider contributing and maintaining Interoperability Guidelines to the EOSC-IF Registry.,EOSCFuture project glossary,https://wiki.eoscfuture.eu/display/PUBLIC/EOSC+Future+Glossary,2021-06-01,,Lorenz Makula,Joaquin Lopez Franciska de Jong MN,reject,can be rediscussed after first release,,InteroperabilityGuidelineProvider,Interoperability Guideline Provider,,,EOSC Provider contributing and maintaining Interoperability Guidelines to the EOSC-IF Registry.,,,,
knowledge,,,"maintained, processed, and interpreted ​information​.",EOSC Glossary September 2020,ISO 5127:2017.,2020-09-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess MN,reject,,"FdJ: not specific for EOSC/OSCARS
Not specific to EOSC/OSCARS.",Knowledge,knowledge,,information,"maintained, processed, and interpreted ​information​.",,,,
Lead provider,,,"Resource Organisation (Resource profile/ERP.BAI.3) that manages or delivers the resource, or that coordinates the Resource delivery in a federated scenario.",EOSCFuture project glossary,,2024-03-29,,,Franciska de Jong Lorenz Makula Joaquin Lopez Alberto Iess MN,reject,,"FdJ: check against Federation Handbook needed
Check against Federation Handbook.",LeadProvider,Lead provider,,,"Resource Organisation (Resource profile/ERP.BAI.3) that manages or delivers the resource, or that coordinates the Resource delivery in a federated scenario.",,,,
legal entity,,,organisation​ that has been established in accordance with the laws and customs of the country of origin or that has been constituted as an intergovernmental organisation pursuant to an international treaty in accordance with principles of international law. It cannot be a department of national governments or ministries.,EOSC Glossary September 2020,"EOSC AISBL Statutes, (2020), FINAL. https://www.eoscsecretariat.eu/sites/default/files/eosc_statutes.pdf​, modified –– reference to organisation",2020-09-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess MN,reject,,"FdJ: not specific for EOSC/OSCARS
Not specific to EOSC/OSCARS.",LegalEntity,legal entity,,organisation,organisation​ that has been established in accordance with the laws and customs of the country of origin or that has been constituted as an intergovernmental organisation pursuant to an international treaty in accordance with principles of international law. It cannot be a department of national governments or ministries.,,,,
machine-actionable,,,machine-readable​ and also in a form that a computing system may process in some automated fashion.,EOSC Glossary September 2020,"RDA DFT working group. (2019). DFT Vocabulary 4.0 Philadelphia. https://smw-rda.esc.rzg.mpg.de/dft-4.0.html​, modified –– reference to machine-readable; following the comments​ the concept has been added.",2020-09-01,MN,,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess,reject,can be rediscussed after first release,"FdJ: not specific for EOSC/OSCARS' self-explanatory term? similar to the rejected term machine-readanle?
",MachineActionable,machine-actionable,machine actionable,,machine-readable​ and also in a form that a computing system may process in some automated fashion.,"EXAMPLE Machine-actionable data, machine-actionable policy.",,,
machine-readable,,,"in a form that can be identified, recognised and extracted by a computer.",EOSC Glossary September 2020,"​CASRAI Research Data Management Glossary​. ​https://casrai.org/rdm-glossary/​, modified –– reference to identified, recognised and extracted instead of used and understood; following the comments​ the concept has been added.",2020-09-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess,reject,,"FdJ: not specific for EOSC/OSCARS
Not specific to EOSC/OSCARS.",MachineReadable,machine-readable,machine readable,machine-actionable,"in a form that can be identified, recognised and extracted by a computer.",,,,
Minimum Viable EOSC,,,"version of the ​EOSC​, consisting in the minimum set of ​components required for its deployment, according to a specification of the minimal functionality/features and quality of service, allowing to collect the maximum amount of EOSC ​stakeholders​’ feedback with the least effort.",EOSC Glossary September 2020,"Candela, L., Mangione, D. (2020). Towards a Coherent and Shared Glossary for the European Open Science Cloud. https://docs.google.com/document/d/1wj9u8QWuCING1O3Lf_yWQJWftXhQwkN_4LzCz48feSQ /edit?usp=sharing​.",2020-09-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess MN,reject,FdJ: outdated,Historical/transitional term; no longer current.,MinimumViableEosc,Minimum Viable EOSC,MVE,European Open Science Cloud,"version of the ​EOSC​, consisting in the minimum set of ​components required for its deployment, according to a specification of the minimal functionality/features and quality of service, allowing to collect the maximum amount of EOSC ​stakeholders​’ feedback with the least effort. [SOURCE: Candela, L., Mangione, D. (2020). Towards a Coherent and Shared Glossary for the European Open Science Cloud. https://docs.google.com/document/d/1wj9u8QWuCING1O3Lf_yWQJWftXhQwkN_4LzCz48feSQ /edit?usp=sharing​.",,,,
Monitoring,,,A service to monitor the usage of EOSC services and resources.,EOSCFuture project glossary,https://eosc.eu/wp-content/uploads/2023/08/EOSCPartnershipMF_Glossary.pdf,2023-08-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess MN,reject,,"FdJ: not specific for EOSC/OSCARS
Not specific to EOSC/OSCARS.",Monitoring,Monitoring,,,A service to monitor the usage of EOSC services and resources.,,,,
online platform,,,digital platform where ​users are brought together by a platform operator in order to facilitate an interaction.,EOSC Glossary September 2020,"COMMISSION STAFF WORKING DOCUMENT Online Platforms Accompanying the document Communication on Online Platforms and the Digital Single Market {COM(2016) 288}, modified –– reference to digital platform instead of ""two-sided"" or ""multi-sided"" markets.",2020-09-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula Alberto Iess MN,reject,,"FdJ: not specific for EOSC/OSCARS
Not specific to EOSC/OSCARS.",OnlinePlatform,online platform,,digital platform,digital platform where ​users are brought together by a platform operator in order to facilitate an interaction.,"Note 1 to entry: Examples of interactions are an exchange of information, a commercial transaction, etc.",,,
open innovation,,,"distributed innovation process based on purposively managed knowledge flows across organizational boundaries, using pecuniary and non-pecuniary mechanisms in line with the organization's business model.",EOSC Glossary September 2020,"Chesbrough, Henry and Bogers, Marcel, Explicating Open Innovation: Clarifying an Emerging Paradigm for Understanding Innovation (April 15, 2014). Henry Chesbrough, Wim Vanhaverbeke, and Joel West, eds. New Frontiers in Open Innovation. Oxford: Oxford University Press, Forthcoming (pp. 3-28). Available at SSRN: https://ssrn.com/abstract=2427233​",2020-09-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula MN,reject,,"FdJ: not specific for EOSC/OSCARS
Not specific to EOSC/OSCARS.",OpenInnovation,open innovation,OI,paradigm,"distributed innovation process based on purposively managed knowledge flows across organizational boundaries, using pecuniary and non-pecuniary mechanisms in line with the organization's business model.","Note 1 to entry: These flows of knowledge may involve knowledge inflows to the focal organization (leveraging external knowledge sources through internal processes), knowledge outflows from a focal organization (leveraging internal knowledge through external commercialization processes) or both (coupling external knowledge sources and commercialization activities). | Note 2 to entry: Innovation refers to the development and commercialization of new or improved products, processes or services, while the openness aspect is represented by the knowledge flows across the permeable organizational boundary. As an organizational construct, it is moreover the business model, which may be implicit or explicit, that puts the distributed innovation process into the organizational realm as it describes not only how value is created within the value network but also how it is captured by the involved organization(s).",,,
open innovation 2.0,,,open innovation​ ​paradigm​ based on the ​quadruple helix innovation model​.,EOSC Glossary September 2020,,2020-09-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula,reject,,"FdJ: not specific for EOSC/OSCARS
Not specific to EOSC/OSCARS.",OpenInnovation20,open innovation 2.0,OI2,open innovation,open innovation​ ​paradigm​ based on the ​quadruple helix innovation model​.,,,,
research product,,,"data repositories, software repositories, and publication repositories.",EOSC Federation Handbook; https://zenodo.org/records/18454649,,2026-07-13,,,,,,,,,,,,,,,
Open Researcher and Contributor ID,ORCID,,non-proprietary alphanumeric code to uniquely identify authors and contributors of scholarly communication,EOSCFuture project glossary,,2024-03-29,,,Franciska de Jong Lorenz Makula Joaquin Lopez MN,reject,,"FdJ: not specific for EOSC/OSCARS
",OpenResearcherAndContributorId,Open Researcher and Contributor ID,,,Non-proprietary alphanumeric code to uniquely identify authors and contributors of scholarly communication,,,,
Order Management,,,service to manage the order and delivery of resources to EOSC users.,EOSCFuture project glossary,https://wiki.eoscfuture.eu/display/PUBLIC/EOSC+Future+Glossary,2021-06-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula MN,reject,FdJ: outdated?,JLL: Too operational ,OrderManagement,Order Management,,,A service to manage the order and delivery of resources to EOSC users.,,,,
organisation,,,"actor​ that has its own functions with responsibilities, authorities and relationships to achieve its objectives.",EOSC Glossary September 2020,"ISO 9000:2015, modified –– Notes to entry are omitted; reference to actor instead of person or group of people.",2020-09-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula,reject,,"FdJ: not specific for EOSC/OSCARS
Not specific to EOSC/OSCARS.",Organisation,organisation,,actor,"actor​ that has its own functions with responsibilities, authorities and relationships to achieve its objectives.",,,,
paradigm,,,recognized scientific achievement that for a time provide model problems and solutions to a community of practitioners.,EOSC Glossary September 2020,"Kuhn, T. S. (1970). The structure of scientific revolutions (2d ed., enlarged). University of Chicago Press, modified –– removed universally (two paradigms can co-exist and co-evolve; see Carayannis, E. G., & Campbell, D. F. J. (2009). ‘Mode 3’ and ‘Quadruple Helix’: Toward a 21st century fractal innovation ecosystem. ​International Journal of Technology Management​, ​46​(3/4), 201.​ ​https://doi.org/10.1504/IJTM.2009.023374​).",2020-09-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula MN,reject,,"FdJ: not specific for EOSC/OSCARS
Not specific to EOSC/OSCARS.",Paradigm,paradigm,,,recognized scientific achievement that for a time provide model problems and solutions to a community of practitioners.,"The concept of paradigm implies that some accepted examples of actual scientific practice — examples which include law, theory, application, and instrumentation together — provide models from which spring particular coherent traditions of scientific research.",,,
Persistent Identifier,PID,,"long-lasting reference to a document, file, web page, or other object",EOSCFuture project glossary,EOSCFuture project glossary,2024-03-29, Joaquin Lopez IMS ,,Franciska de Jong  Lorenz Makula,reject,can be rediscussed after first release,see duplicate,PersistentIdentifier,Persistent Identifier,,,"Long-lasting reference to a document, file, web page, or other object",,,,
policy,,,"documented set of intentions, expectations, goals, rules and requirements, often formally expressed by top management representatives in an ​organisation​ or ​federation​.",EOSC Glossary September 2020,FITSM. (2016). ​FitSM-0: Overview and Vocabulary​. https://www.fitsm.eu/download/280/​; ​following the comments​ the definition will be reviewed.,2020-09-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula MN,reject,,"Franciska de Jong
Not specific to EOSC/OSCARS.",Policy,policy,,component,"documented set of intentions, expectations, goals, rules and requirements, often formally expressed by top management representatives in an ​organisation​ or ​federation​.","Policies are then realised in processes, which are in turn made up of activities that people carry out according to defined procedures.",,,
Provider,,,"organisation operating a resource, whether operating a service or providing access to research artefacts for use or access by users not affiliated with the organisation itself.",EOSCFuture project glossary,,2024-03-29, Lorenz Makula,,Franciska de Jong Joaquin Lopez,reject,FdJ: definition to be improved,"FdJ: check against Federation Handbook needed; NB: we have EOSC Resource provider as term, but nominated for 'discussion' ...
.",Provider,Provider,,,"An organisation operating a resource, whether operating a service or providing access to research artefacts for use or access by users not affiliated with the organisation itself.",,,,eoscG2020:Provider
provider,,,resource provider user​ that manages and delivers a ​resource​ or resources.,EOSC Glossary September 2020,,2020-09-01,,,Franciska de Jong Lorenz Makula Joaquin Lopez,reject,,"FdJ: alternative term +definition preferred
",Provider,provider,,user,resource provider user​ that manages and delivers a ​resource​ or resources.,,,,eoscFut:Provider
Public Sector Information,PSI,,"The European PSI Directive (2003/98/EC) establishes a minimum set of rules for the re-use of PSI held by public sector bodies in the EU. The Directive has been updated by the PSI Directive 2019/1024/EU, which obliges Member States to make certain categories of data available for reuse.",EOSCFuture project glossary,https://eur-lex.europa.eu/eli/dir/2003/98/oj/eng,2003-11-17,,,Franciska de Jong Lorenz Makula Joaquin Lopez MN,reject,,,PublicSectorInformation,Public Sector Information,,,"The European PSI Directive (2003/98/EC) establishes a minimum set of rules for the re-use of PSI held by public sector bodies in the EU. The Directive has been updated by the PSI Directive 2019/1024/EU, which obliges Member States to make certain categories of data available for reuse.",,,,
quadruple helix innovation model,,,"non-linear interaction model in an ​ecosystem​ consisting of government, academic, industry and media-based and culture-based public ​stakeholders​.",EOSC Glossary September 2020,,2020-09-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula MN,reject,,"FdJ: not specific for EOSC/OSCARS
Not specific to EOSC/OSCARS.",QuadrupleHelixInnovationModel,quadruple helix innovation model,,open innovation 2.0,"non-linear interaction model in an ​ecosystem​ consisting of government, academic, industry and media-based and culture-based public ​stakeholders​.",,,,
REsearch and Education Identity FEDerationS,REFEDS,,A group which articulates the mutual needs of research and education identity federations worldwide.,EOSCFuture project glossary,,2024-03-29,, Joaquin Lopez Lorenz Makula,Franciska de Jong,reject,can be rediscussed after first release,,ResearchAndEducationIdentityFederations,REsearch and Education Identity FEDerationS,,,A group which articulates the mutual needs of research and education identity federations worldwide.,,,,
research data,,,"data collected or produced in the course of scientific research activities and used as evidence in the research process, or commonly accepted in the research community as necessary to validate research findings and results.",EOSC Glossary September 2020,"DIRECTIVE (EU) 2019/1024 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 20 June 2019 on open data and the re-use of public sector information (recast), modified –– reference to data.",2020-09-01,,,Franciska de Jong Joaquin Lopez Lorenz Makula MN,reject,can be rediscussed after first release,,ResearchData,research data,,data,"data collected or produced in the course of scientific research activities and used as evidence in the research process, or commonly accepted in the research community as necessary to validate research findings and results.",,,,
research funding organisation,RFO,,organisation​ which funds research.,EOSC Glossary September 2020,"Reinhardt, A., & Milzow, K. (2012). Evaluation in Research and Research Funding Organisations: European Practices. European Science Foundation. https://doi.org/10.22163/fteval.2012.97​, modified reference to organisation instead of governmental agency or private organisation.",2020-09-01,,,Joaquin Lopez Lorenz Makula IMS Franciska de Jong MN,reject,,FdJ: Not specific to EOSC/OSCARS; self-explanatory,ResearchFundingOrganisation,research funding organisation,RFO | research funder,organisation,organisation​ which funds research.,,,,
research performing organisation,RPO,,organisation​ which is itself realising research and which employs active researchers.,EOSC Glossary September 2020,"Reinhardt, A., & Milzow, K. (2012). Evaluation in Research and Research Funding Organisations: European Practices. European Science Foundation. https://doi.org/10.22163/fteval.2012.97​, modified –– reference to organisation instead of institution or organisation.",2020-09-01,,,Joaquin Lopez Lorenz Makula IMS Franciska de Jong Alberto Iess MN,reject,,"FdJ: check against Federation Handbook needed
Not specific to EOSC/OSCARS.",ResearchPerformingOrganisation,research performing organisation,RPO,organisation,organisation​ which is itself realising research and which employs active researchers.,,,,
Research Product,,,"A scientific or research output (classified as publication (literature), research data, research software, and ""other kinds of products""), accessible or linked from an EOSC Data Source (e.g. repository, scientific database, publisher archive aggregator, CRIS system), whose metadata might be ""harvested from"" the linking EOSC Data Source using a defined protocol (e.g. OAI-PMH).",EOSCFuture project glossary,,2024-03-29,,Alberto Iess,Franciska de Jong Joaquin Lopez Lorenz Makula MN,reject,can be rediscussed after first release,"FdJ: not specific for EOSC/OSCARS
AI: it is directly linked and esplicitly mentioned in the ""Resource"" entry",ResearchProduct,Research Product,,,"A scientific or research output (classified as publication (literature), research data, research software, and ""other kinds of products""), accessible or linked from an EOSC Data Source (e.g. repository, scientific database, publisher archive aggregator, CRIS system), whose metadata might be ""harvested from"" the linking EOSC Data Source using a defined protocol (e.g. OAI-PMH).",,,,
resource,,,any ​component​ available by ​EOSC​.,EOSC Glossary September 2020,[​following the comments​ a new definition has been proposed.,2020-09-01,,,Franciska de Jong Lorenz Makula Joaquin Lopez MN,reject,,FdJ: alternative term+definition is preferred; ,Resource,resource,,component,any ​component​ available by ​EOSC​.,,,,eoscFut:Resource
Rules of Participation,RoP,,"set of ​policies defining a minimal set of rights, obligations and accountability governing the activities of those participating in ​EOSC​.",EOSC Glossary September 2020,"Rules of Participation, modified — reference to policies.",2020-09-01,,,Franciska de Jong Lorenz Makula Joaquin Lopez Alberto Iess MN,reject,,FdJ: check against Federation Handbook needed,RulesOfParticipation,Rules of Participation,RoP,policy,"set of ​policies defining a minimal set of rights, obligations and accountability governing the activities of those participating in ​EOSC​.",,,,eoscFut:RulesOfParticipation
